year,month,headline,abstract,pub_date
1965,1,Chaos on the Docks . . .,The rejection by longshoremen in the Port of New York of the four-year contract recommended by their union leaders is a tragic backward step -- one that will have disastrous results for all labor if it degenerates into a strike in all Atlantic and Gulf ports tonight.  ,1965-01-10T05:00:00+0000
1965,1,Hempstead Plans Patrol to Combat Influx of Deviates,"Hempstead, NY, to form special civilian force to combat influx of dope peddlers",1965-01-30T05:00:00+0000
1965,1,THERAPY IS FOUND CURING DEVIATES; Psychiatrist Urges Positive Attitude on Treatment,"Dr S B Hadden repts he has successfully treated homosexuals for 10 yrs, rept to Amer Group Psychotherapy Assn; repts 12 of 32 patients who attended at least 20 therapy sessions adjusted to heterosexual pattern",1965-01-31T05:00:00+0000
1965,2,Regents Urge High Court To Declare Film Obscene,Twilight Girls: NYS Appeals Ct reserves decision on Regents Bd appeal from Appellate Div ruling film is not obscene; bd seeks ban over nudity and female homosexuality in film,1965-02-03T05:00:00+0000
1965,3,CITY SEEKING END OF JAIL CROWDING; 140 Women Prisoners Will Be Moved and Fewer Will Be Held Pending Trials,"Cavanagh repts 140 prisoners will De shifted, press conf; repts Wagner allots $100,000 to extend program to release prisoners awaiting trial for minor offenses in own recognizance; says he found no evidence of homosexuality or of vermin in prison food; repts new Detention House will be completed in '68",1965-03-20T05:00:00+0000
1965,4,NEW FIGHT GROWS ON STERILIZATION; Connecticut Issue Follows One on Contraceptives,Conn State Repr Evarts urges repeal of '09 Conn law that permits sterilization to 'check the increase of the criminal and degenerate class'; Repr Turner opposed; sterilization laws and statistics in other states noted; Assn for Voluntary Sterilization aide D H Higgins comments,1965-04-04T05:00:00+0000
1965,4,Bus Riley' on Screen,"Engrossing, often sensitive drama of small-town Midwest. The catches are the two leads, a mannered Parks and blatant A-M.",1965-04-08T05:00:00+0000
1965,4,Cuban Government Is Alarmed By Increase in Homosexuality,"El Mundo (pub) repts Govt alarmed by homosexuality, held legacy from capitalism; repts Castro charge that it is vice of cities, harmful to Cuban revolution",1965-04-16T05:00:00+0000
1965,4,Article 1 -- No Title,"demonstrators opposing policy in Vietnam cancel vigil, Stonewall, Tex, after failing to give Johnson petition",1965-04-19T05:00:00+0000
1965,4,Student Code Is Urged in California,Regents Bd advisory com proposes student code setting stricter standards of behavior; would bar indecent conduct or speech or failure to comply with univ officials requests; criteria seen curbing protest demonstrations; plea by Free Speech Movement for reinstatement of 4 ousted students rejected by pres Kerr and bd head Carter,1965-04-24T05:00:00+0000
1965,4,CHURCHMEN URGED TO FIGHT OBSCENITY,"Wagner, Bishop Guilfoyle, DiCarlo, others urge pub to fight pornography, 2 communion breakfasts, NYC; homosexual pornography cited",1965-04-26T05:00:00+0000
1965,5,PREMINGER STOPS FILM'S SALE TO TV; Objects to Editing by C.B.S. of 'Advise and Consent',O Preminger bars CBS telecast of film Advise and Consent because CBS has cut refs to homosexuality; CBS defends cuts; planned cut of 15 mins from B Wilder film The Apartment noted,1965-05-10T05:00:00+0000
1965,5,OSBORNE'S PLAY WILL BAR PUBLIC; Private Showings to Avoid Lord Chamberlain's Ban,"Patriot for Me, A, by J Osborne: to be presented at 'private' theater, London, as long talks with Lord Chamberlain over his ban on 5 homosexual scenes fail; Arts Council, which supports private theater, approves",1965-05-12T05:00:00+0000
1965,5,Parliament to Study Reform of Penalties For Homosexuality,"Brit Govt indicates readiness to allot time for Parliamentary debate on bill to remove from criminal code all sanctions against homosexual acts in private by consenting adults; Lord Chancellor Gardiner says Govt will offer no bill since it regards issue as moral rather than pol, debate, Lords; Abp Ramsey backs legis",1965-05-13T05:00:00+0000
1965,5,EX-HEAD OF HOME ON L.I. IS INDICTED; Shapiro and Three Aides Charged With Abuse,"L Shapiro, recently dismissed dir of Nassau County Children's Shelter, indicted for willful negligence and omission of duty; former aides W Dorsey, M Hora and C J Britt indicted on charges including indecent exposure and carnal abuse involving minor female inmates; County Exec Nickerson again backs Shapiro",1965-05-22T05:00:00+0000
1965,5,Lords Vote to Ease Homosexuality Ban; LORDS PASS A BILL ON HOMOSEXUALS,Brit Lords approves bill to end criminal penalties for homosexual conduct by consenting adults in private; Marquess of Queensberry and Earl of Arran spoke for bill,1965-05-25T05:00:00+0000
1965,5,ALBANY ABANDONS HOMOSEXUAL BILL; Revision of Law on Criminal Sanctions Lacks Support,Sen Laverne sees no hope for passage; blames NY Civil Liberties Union,1965-05-28T05:00:00+0000
1965,5,HOMOSEXUALS STAGE PROTEST IN CAPITAL,"Mattachine Soc, homosexual group, pickets White House to protest employment ban",1965-05-30T05:00:00+0000
1965,6,ASSEMBLY PASSES A TOTAL REVISION OF THE PENAL LAW; Homosexual Acts Remain as Crimes Under Amendment -- Adultery Issue Open,"Assembly approves bill, submitted by Comm to Revise Penal Law, to exclude players but not operators from criminal liability",1965-06-04T05:00:00+0000
1965,6,OWNER OF NIGHTCLUB IS ACCUSED OF ARSON,alleged Cosa Nostra member E De Curtis and 2 aides held on variety of charges after probe by Nassau County of fires which destroyed 5 nightclubs reptdly catering to sexual deviates; Dist Atty Cahn repts De Curtis is repr of A Strollo,1965-06-08T05:00:00+0000
